Auckland War Memorial Museum Tamaki Paenga Hira	1899	510
Auckland War Memorial Museum Tamaki Paenga Hira	1911	510
Auckland War Memorial Museum Tamaki Paenga Hira	1994	507
Auckland War Memorial Museum Tamaki Paenga Hira	1907	495
Auckland War Memorial Museum Tamaki Paenga Hira	1908	488
Auckland War Memorial Museum Tamaki Paenga Hira	1932	467
Auckland War Memorial Museum Tamaki Paenga Hira	1894	464
Auckland War Memorial Museum Tamaki Paenga Hira	1903	453
Auckland War Memorial Museum Tamaki Paenga Hira	1905	452
Auckland War Memorial Museum Tamaki Paenga Hira	1993	452
Auckland War Memorial Museum Tamaki Paenga Hira	1895	449
Auckland War Memorial Museum Tamaki Paenga Hira	1998	443
Auckland War Memorial Museum Tamaki Paenga Hira	1924	437
Auckland War Memorial Museum Tamaki Paenga Hira	1925	437
Auckland War Memorial Museum Tamaki Paenga Hira	1926	432
Auckland War Memorial Museum Tamaki Paenga Hira	1929	431
Auckland War Memorial Museum Tamaki Paenga Hira	1996	427
Auckland War Memorial Museum Tamaki Paenga Hira	1909	421
Auckland War Memorial Museum Tamaki Paenga Hira	1885	418
Auckland War Memorial Museum Tamaki Paenga Hira	1893	404
Auckland War Memorial Museum Tamaki Paenga Hira	1896	401
Auckland War Memorial Museum Tamaki Paenga Hira	1897	401
Auckland War Memorial Museum Tamaki Paenga Hira	1927	391
Auckland War Memorial Museum Tamaki Paenga Hira	1933	371
Auckland War Memorial Museum Tamaki Paenga Hira	1898	370
Auckland War Memorial Museum Tamaki Paenga Hira	1892	366
Auckland War Memorial Museum Tamaki Paenga Hira	1644	360
Auckland War Memorial Museum Tamaki Paenga Hira	1992	356
Auckland War Memorial Museum Tamaki Paenga Hira	2002	353
Auckland War Memorial Museum Tamaki Paenga Hira	1904	349
Auckland War Memorial Museum Tamaki Paenga Hira	2003	341
Auckland War Memorial Museum Tamaki Paenga Hira	2001	326
Auckland War Memorial Museum Tamaki Paenga Hira	1891	318
Auckland War Memorial Museum Tamaki Paenga Hira	1889	303
Auckland War Memorial Museum Tamaki Paenga Hira	1995	295
Auckland War Memorial Museum Tamaki Paenga Hira	2000	292
Auckland War Memorial Museum Tamaki Paenga Hira	1888	288
Auckland War Memorial Museum Tamaki Paenga Hira	1870	283
Auckland War Memorial Museum Tamaki Paenga Hira	1603	268
Auckland War Memorial Museum Tamaki Paenga Hira	1875	266
Auckland War Memorial Museum Tamaki Paenga Hira	1991	247
Auckland War Memorial Museum Tamaki Paenga Hira	1887	246
Auckland War Memorial Museum Tamaki Paenga Hira	1997	243
Auckland War Memorial Museum Tamaki Paenga Hira	1886	227
Auckland War Memorial Museum Tamaki Paenga Hira	1867	222
Auckland War Memorial Museum Tamaki Paenga Hira	1882	222
Auckland War Memorial Museum Tamaki Paenga Hira	1883	205
Auckland War Memorial Museum Tamaki Paenga Hira	1727	201
Auckland War Memorial Museum Tamaki Paenga Hira	1850	201
Auckland War Memorial Museum Tamaki Paenga Hira	1881	193
Auckland War Memorial Museum Tamaki Paenga Hira	1884	192
Auckland War Memorial Museum Tamaki Paenga Hira	1820	179
Auckland War Memorial Museum Tamaki Paenga Hira	1864	170
Auckland War Memorial Museum Tamaki Paenga Hira	1863	160
Auckland War Memorial Museum Tamaki Paenga Hira	1876	136
Auckland War Memorial Museum Tamaki Paenga Hira	1879	133
Auckland War Memorial Museum Tamaki Paenga Hira	1830	125
Auckland War Memorial Museum Tamaki Paenga Hira	1840	124
Auckland War Memorial Museum Tamaki Paenga Hira	1874	121
Auckland War Memorial Museum Tamaki Paenga Hira	1865	120
Auckland War Memorial Museum Tamaki Paenga Hira	1878	120
Auckland War Memorial Museum Tamaki Paenga Hira	1861	106
Auckland War Memorial Museum Tamaki Paenga Hira	1862	103
Auckland War Memorial Museum Tamaki Paenga Hira	1877	103
Auckland War Memorial Museum Tamaki Paenga Hira	1872	102
Auckland War Memorial Museum Tamaki Paenga Hira	1873	102
Auckland War Memorial Museum Tamaki Paenga Hira	1871	98
Auckland War Memorial Museum Tamaki Paenga Hira	1800	87
Auckland War Memorial Museum Tamaki Paenga Hira	1869	86
Auckland War Memorial Museum Tamaki Paenga Hira	1859	83
Auckland War Memorial Museum Tamaki Paenga Hira	1866	83
Auckland War Memorial Museum Tamaki Paenga Hira	1845	81
Auckland War Memorial Museum Tamaki Paenga Hira	1851	80
Auckland War Memorial Museum Tamaki Paenga Hira	1852	79
Auckland War Memorial Museum Tamaki Paenga Hira	1736	74
Auckland War Memorial Museum Tamaki Paenga Hira	1853	73
Auckland War Memorial Museum Tamaki Paenga Hira	1751	67
Auckland War Memorial Museum Tamaki Paenga Hira	1780	64
Auckland War Memorial Museum Tamaki Paenga Hira	1750	58
Auckland War Memorial Museum Tamaki Paenga Hira	1714	49
Auckland War Memorial Museum Tamaki Paenga Hira	1790	49
Auckland War Memorial Museum Tamaki Paenga Hira	1855	49
